[+] hooked kernel32.dll!CreateFileA @ 0x7700e9f0
[+] hooked kernel32.dll!CreateFileW @ 0x7700ea00
[filetrace] ready, t0 set
[0.047s] OPEN CreateFileA  Bin\xx_effects.gzp
[0.048s] OPEN CreateFileW  Bin\xx_efx.gzp
[0.048s] OPEN CreateFileA  Bin\xx_efx.gzp
[0.052s] OPEN CreateFileW  Bin\xx_fish.gzp
[0.052s] OPEN CreateFileA  Bin\xx_fish.gzp
[0.053s] OPEN CreateFileW  Bin\xx_formations.gzp
[0.053s] OPEN CreateFileA  Bin\xx_formations.gzp
[0.053s] OPEN CreateFileW  Bin\xx_giants_logo_3d.gzp
[0.053s] OPEN CreateFileA  Bin\xx_giants_logo_3d.gzp
[0.053s] OPEN CreateFileW  Bin\xx_giantwalls.gzp
[0.053s] OPEN CreateFileA  Bin\xx_giantwalls.gzp
[0.054s] OPEN CreateFileW  Bin\xx_guard_army_barracks.gzp
[0.054s] OPEN CreateFileA  Bin\xx_guard_army_barracks.gzp
[0.055s] OPEN CreateFileW  Bin\xx_guard_barracks.gzp
[0.055s] OPEN CreateFileA  Bin\xx_guard_barracks.gzp
[0.056s] OPEN CreateFileW  Bin\xx_guard_buildings.gzp
[0.056s] OPEN CreateFileA  Bin\xx_guard_buildings.gzp
[0.058s] OPEN CreateFileW  Bin\xx_guard_drawbridge.gzp
[0.058s] OPEN CreateFileA  Bin\xx_guard_drawbridge.gzp
[0.058s] OPEN CreateFileW  Bin\xx_guard_log_launcher.gzp
[0.058s] OPEN CreateFileA  Bin\xx_guard_log_launcher.gzp
[0.058s] OPEN CreateFileW  Bin\xx_guard_prison.gzp
[0.058s] OPEN CreateFileA  Bin\xx_guard_prison.gzp
[0.059s] OPEN CreateFileW  Bin\xx_guard_reaper_tower.gzp
[0.059s] OPEN CreateFileA  Bin\xx_guard_reaper_tower.gzp
[0.059s] OPEN CreateFileW  Bin\xx_guard_turrets.gzp
[0.059s] OPEN CreateFileA  Bin\xx_guard_turrets.gzp
[0.059s] OPEN CreateFileW  Bin\xx_intro.gzp
[0.059s] OPEN CreateFileA  Bin\xx_intro.gzp
[0.059s] OPEN CreateFileW  Bin\xx_jetski.gzp
[0.059s] OPEN CreateFileA  Bin\xx_jetski.gzp
[0.059s] OPEN CreateFileW  Bin\xx_jetski_rpm.gzp
[0.059s] OPEN CreateFileA  Bin\xx_jetski_rpm.gzp
[0.060s] OPEN CreateFileW  Bin\xx_kabutolev1.gzp
[0.060s] OPEN CreateFileA  Bin\xx_kabutolev1.gzp
[0.061s] OPEN CreateFileW  Bin\xx_kabuto_flick.gzp
[0.061s] OPEN CreateFileA  Bin\xx_kabuto_flick.gzp
[0.061s] OPEN CreateFileW  Bin\xx_kab_stuff.gzp
[0.061s] OPEN CreateFileA  Bin\xx_kab_stuff.gzp
[0.062s] OPEN CreateFileW  Bin\xx_kstory5.gzp
[0.062s] OPEN CreateFileA  Bin\xx_kstory5.gzp
[0.062s] OPEN CreateFileW  Bin\xx_lander.gzp
[0.062s] OPEN CreateFileA  Bin\xx_lander.gzp
[0.062s] OPEN CreateFileW  Bin\xx_markers.gzp
[0.062s] OPEN CreateFileA  Bin\xx_markers.gzp
[0.062s] OPEN CreateFileW  Bin\xx_mecclev1.gzp
[0.062s] OPEN CreateFileA  Bin\xx_mecclev1.gzp
[0.065s] OPEN CreateFileW  Bin\xx_mecclev1_nothrust.gzp
[0.065s] OPEN CreateFileA  Bin\xx_mecclev1_nothrust.gzp
[0.065s] OPEN CreateFileW  Bin\xx_mecc_base.gzp
[0.065s] OPEN CreateFileA  Bin\xx_mecc_base.gzp
[0.068s] OPEN CreateFileW  Bin\xx_mecc_flick.gzp
[0.068s] OPEN CreateFileA  Bin\xx_mecc_flick.gzp
[0.069s] OPEN CreateFileW  Bin\xx_menus.gzp
[0.069s] OPEN CreateFileA  Bin\xx_menus.gzp
[0.069s] OPEN CreateFileW  Bin\xx_music_temp.gzp
[0.069s] OPEN CreateFileA  Bin\xx_music_temp.gzp
[0.069s] OPEN CreateFileW  Bin\xx_offspring.gzp
[0.069s] OPEN CreateFileA  Bin\xx_offspring.gzp
[0.069s] OPEN CreateFileW  Bin\xx_permanentaliens.gzp
[0.069s] OPEN CreateFileA  Bin\xx_permanentaliens.gzp
[0.070s] OPEN CreateFileW  Bin\xx_pier.gzp
[0.070s] OPEN CreateFileA  Bin\xx_pier.gzp
