total rows scanned: 3996551
Giants.exe events: 14037

== operations ==
 11032  ReadFile
   96  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_jetski.gzp
   94  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_ambient.gzp
   90  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_reaper_flick.gzp
   88  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_ptree.gzp
   86  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_verm.gzp
   76  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\w_Story1.gzp
   76  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_kab_stuff.gzp
   74  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_charger.gzp
   72  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_formations.gzp
   65  HKLM
   60  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_seamonster.gzp
   60  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_smborjoyzee.gzp
   58  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_birds.gzp
   50  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_guard_prison.gzp
   48  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_rpqueen.gzp
   48  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_smartie.gzp
   48  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_smyan.gzp
   48  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_story1.gzp
   46  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_snow_stuff.gzp
   45  HKCU
   44  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin
   44  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_smtimmy.gzp
   44  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_story4.gzp
   40  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_bridge.gzp
   40  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_smfemale.gzp
   38  G:\VibeRE\GiantsRE\RuntimeLab\GiantsWork\Bin\xx_kabuto_flick.gzp
