addr,size,kind,bind,section,demangled,mangled
0x00000034,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_litDir_o,v1m_litDir_o
0x00000040,0,NOTYPE,STB_LOCAL,12,v0c_blendAnims,v0c_blendAnims
0x00000048,0,NOTYPE,STB_LOCAL,4,v1c_powerUp,v1c_powerUp
0x0000004e,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_o2w,v1m_o2w
0x00000050,0,NOTYPE,STB_LOCAL,12,v0c_concatenateBones,v0c_concatenateBones
0x00000052,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_w2e,v1m_w2e
0x00000056,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_w2p,v1m_w2p
0x00000058,0,NOTYPE,STB_LOCAL,4,v1c_stop,v1c_stop
0x0000005a,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_p2w,v1m_p2w
0x0000005e,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_w2uv,v1m_w2uv
0x00000060,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_mtxsEnd,v1m_mtxsEnd
0x00000060,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_ambRgb,v1m_ambRgb
0x00000060,0,NOTYPE,STB_LOCAL,12,v0c_invertBone,v0c_invertBone
0x00000061,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_emptyGiftag,v1m_emptyGiftag
0x00000062,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_giftag,v1m_giftag
0x00000063,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_litDir_w,v1m_litDir_w
0x00000064,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_litRgb,v1m_litRgb
0x00000065,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_objOfstBas,v1m_objOfstBas
0x00000066,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_objSiz,v1m_objSiz
0x00000067,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fogDistHght2t,v1m_fogDistHght2t
0x00000068,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fogDistMinMaxTimeFog,v1m_fogDistMinMaxTimeFog
0x00000068,0,NOTYPE,STB_LOCAL,4,v1c_reloadCmds,v1c_reloadCmds
0x00000069,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fogHghtMinMaxTimeFog,v1m_fogHghtMinMaxTimeFog
0x0000006a,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fogDistSpline,v1m_fogDistSpline
0x0000006b,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fogHghtSpline,v1m_fogHghtSpline
0x0000006c,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fogBiasScalFrnt,v1m_fogBiasScalFrnt
0x0000006d,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_alpha,v1m_alpha
0x0000006e,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_zBuf,v1m_zBuf
0x0000006f,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_kabuto_bnc1CenEtc,v1m_kabuto_bnc1CenEtc
0x00000070,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_kabuto_bnc2CenEtc,v1m_kabuto_bnc2CenEtc
0x00000070,0,NOTYPE,STB_LOCAL,12,v0c_pitchRollYawToQuat,v0c_pitchRollYawToQuat
0x00000071,0,NOTYPE,STB_LOCAL,SHN_ABS,t_kmb_frntFace,t_kmb_frntFace
0x00000078,0,NOTYPE,STB_LOCAL,4,v1c_ret,v1c_ret
0x00000079,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_vecsEnd,v1m_vecsEnd
0x00000079,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_setMem_tbl,v1m_setMem_tbl
0x00000080,0,NOTYPE,STB_LOCAL,12,blendKeyframes_,blendKeyframes_
0x00000088,0,NOTYPE,STB_LOCAL,4,v1c_stopLoadIcmd,v1c_stopLoadIcmd
0x0000008b,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_iscmdBuf,v1m_iscmdBuf
0x0000008b,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fscmdBuf,v1m_fscmdBuf
0x00000091,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_sstkBuf,v1m_sstkBuf
0x00000093,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_icmdBuf,v1m_icmdBuf
0x00000098,0,NOTYPE,STB_LOCAL,4,v1c_swapFgndBgnd,v1c_swapFgndBgnd
0x00000098,0,OBJ,STB_GLOBAL,13,MipsMtxInverse,MipsMtxInverse
0x000000a8,0,NOTYPE,STB_LOCAL,4,v1c_swapStopLoadFcmd,v1c_swapStopLoadFcmd
0x000000aa,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_fcmdBuf,v1m_fcmdBuf
0x000000b8,0,NOTYPE,STB_LOCAL,4,v1c_move,v1c_move
0x000000c1,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_cmdBufsEnd,v1m_cmdBufsEnd
0x000000c1,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_vifBuf0,v1m_vifBuf0
0x000000c5,0,NOTYPE,STB_LOCAL,SHN_ABS,v0m_saveBuf,v0m_saveBuf
0x000000c8,0,NOTYPE,STB_LOCAL,4,v1c_1WdToMw,v1c_1WdToMw
0x000000c8,0,NOTYPE,STB_LOCAL,12,QPB_lup,QPB_lup
0x000000d8,0,NOTYPE,STB_LOCAL,4,v1c_wdsToMwStep4,v1c_wdsToMwStep4
0x000000d9,0,NOTYPE,STB_LOCAL,SHN_ABS,v0m_outBuf,v0m_outBuf
0x000000f0,0,NOTYPE,STB_LOCAL,4,v1c_1WdToMxyz,v1c_1WdToMxyz
0x00000100,0,NOTYPE,STB_LOCAL,4,v1c_wdsToMxyz,v1c_wdsToMxyz
0x00000118,0,NOTYPE,STB_LOCAL,4,v1c_1WdToMxyzw,v1c_1WdToMxyzw
0x00000128,0,NOTYPE,STB_LOCAL,4,v1c_wdsToMxyzw,v1c_wdsToMxyzw
0x00000140,0,NOTYPE,STB_LOCAL,4,v1c_wdsBcToMxyz,v1c_wdsBcToMxyz
0x00000151,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_vifBuf1,v1m_vifBuf1
0x00000158,0,NOTYPE,STB_LOCAL,4,v1c_wdsBcToMxyzw,v1c_wdsBcToMxyzw
0x00000170,0,NOTYPE,STB_LOCAL,4,v1c_mpy4x4Mtxs,v1c_mpy4x4Mtxs
0x00000170,0,NOTYPE,STB_LOCAL,13,Animate_Vertex,Animate_Vertex
0x00000180,0,NOTYPE,STB_LOCAL,4,v1c_trnspos4x4Mtx,v1c_trnspos4x4Mtx
0x00000190,0,NOTYPE,STB_LOCAL,4,v1c_v4Mpy4x4ToV4,v1c_v4Mpy4x4ToV4
0x000001a0,0,NOTYPE,STB_LOCAL,4,v1c_gsAd_ptrDest,v1c_gsAd_ptrDest
0x000001b0,0,NOTYPE,STB_LOCAL,4,v1c_gsAd_relDest,v1c_gsAd_relDest
0x000001c0,0,NOTYPE,STB_LOCAL,4,v1c_kickAtEmptyGiftag,v1c_kickAtEmptyGiftag
0x000001d0,0,NOTYPE,STB_LOCAL,4,v1c_kickAt,v1c_kickAt
0x000001e0,0,NOTYPE,STB_LOCAL,4,v1c_kickBuf,v1c_kickBuf
0x000001e1,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_vifBufsEnd,v1m_vifBufsEnd
0x000001e1,0,NOTYPE,STB_LOCAL,SHN_ABS,m_o2p_adjust,m_o2p_adjust
0x000001e2,0,NOTYPE,STB_LOCAL,SHN_ABS,t_kabuto_bnc1,t_kabuto_bnc1
0x000001e3,0,NOTYPE,STB_LOCAL,SHN_ABS,t_kabuto_bnc2,t_kabuto_bnc2
0x000001e4,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_gifBuf0,v1m_gifBuf0
0x000001e5,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_clipDistFrnt,v1m_clipDistFrnt
0x000001e9,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_clipDistSide,v1m_clipDistSide
0x000001ed,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_clipTyp,v1m_clipTyp
0x000001f0,0,NOTYPE,STB_LOCAL,4,v1c_kickBufStop,v1c_kickBufStop
0x000001f1,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_litTyp,v1m_litTyp
0x000001f5,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_nxyzScal,v1m_nxyzScal
0x000001f9,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_pctsScal,v1m_pctsScal
0x000001fd,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_primAnd,v1m_primAnd
0x00000200,0,NOTYPE,STB_LOCAL,4,v1c_rndrBufs,v1c_rndrBufs
0x00000201,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_primFixed,v1m_primFixed
0x00000205,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_primOr,v1m_primOr
0x00000209,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_rgbScal,v1m_rgbScal
0x0000020d,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_xyzScal,v1m_xyzScal
0x00000210,0,NOTYPE,STB_LOCAL,4,v1c_rndrBufsEnd,v1c_rndrBufsEnd
0x00000211,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_uvMag,v1m_uvMag
0x00000215,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_uvScal,v1m_uvScal
0x00000219,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_uvOfstU,v1m_uvOfstU
0x0000021d,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_uvOfstV,v1m_uvOfstV
0x00000220,0,NOTYPE,STB_LOCAL,4,v1c_rndrTyp,v1c_rndrTyp
0x00000221,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_specRndr,v1m_specRndr
0x00000225,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_kabuto_bncScal,v1m_kabuto_bncScal
0x00000229,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_kabuto_bncHght,v1m_kabuto_bncHght
0x0000022d,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_debugObjNum,v1m_debugObjNum
0x00000230,0,NOTYPE,STB_LOCAL,4,v1c_rndrTypRepeat,v1c_rndrTypRepeat
0x00000231,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_backfaceReject,v1m_backfaceReject
0x00000235,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_scalarEnd,v1m_scalarEnd
0x00000235,0,NOTYPE,STB_LOCAL,SHN_ABS,m_BGND_DCMD_QCNT_PTR,m_BGND_DCMD_QCNT_PTR
0x00000239,0,NOTYPE,STB_LOCAL,SHN_ABS,m_BON_TYP,m_BON_TYP
0x0000023d,0,NOTYPE,STB_LOCAL,SHN_ABS,m_CRC_VIS0,m_CRC_VIS0
0x00000240,0,NOTYPE,STB_LOCAL,4,v1c_error,v1c_error
0x00000241,0,NOTYPE,STB_LOCAL,SHN_ABS,m_CRC_VIS1,m_CRC_VIS1
0x00000245,0,NOTYPE,STB_LOCAL,SHN_ABS,m_CRC_WAKE_ADRS,m_CRC_WAKE_ADRS
0x00000249,0,NOTYPE,STB_LOCAL,SHN_ABS,m_kickReadyEnable,m_kickReadyEnable
0x0000024d,0,NOTYPE,STB_LOCAL,SHN_ABS,m_P_BGND_DCMD_BUF_BEG,m_P_BGND_DCMD_BUF_BEG
0x00000251,0,NOTYPE,STB_LOCAL,SHN_ABS,m_P_FGND_DCMD_BUF_BEG,m_P_FGND_DCMD_BUF_BEG
0x00000255,0,NOTYPE,STB_LOCAL,SHN_ABS,m_P_PRE_KICK,m_P_PRE_KICK
0x00000258,0,NOTYPE,STB_LOCAL,13,Calc_Plane_Equation,Calc_Plane_Equation
0x00000258,0,OBJ,STB_GLOBAL,13,Affine_To_Xform,Affine_To_Xform
0x00000259,0,NOTYPE,STB_LOCAL,SHN_ABS,m_P_KICK,m_P_KICK
0x0000025d,0,NOTYPE,STB_LOCAL,SHN_ABS,m_P_SSTK,m_P_SSTK
0x00000261,0,NOTYPE,STB_LOCAL,SHN_ABS,m_P_RNDR_LOOP,m_P_RNDR_LOOP
